REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE2","S105","ELC003_B",2021,4.59544306449732
"RE2","S105","ELC003_B",2022,4.84805270547178
"RE2","S105","ELC003_B",2023,5.11833665589372
"RE2","S105","ELC003_B",2024,5.40730924853868
"RE2","S105","ELC003_B",2025,5.71606472455956
"RE2","S105","ELC003_B",2026,6.11436810025524
"RE2","S105","ELC003_B",2027,6.54011182007484
"RE2","S105","ELC003_B",2028,6.99511369750354
"RE2","S105","ELC003_B",2029,7.48129808904996
"RE2","S105","ELC003_B",2030,8.0007247362385
"RE2","S105","ELC003_B",2031,8.57370922091558
"RE2","S105","ELC003_B",2032,9.19123238050346
"RE2","S105","ELC003_B",2033,9.8563327842091
"RE2","S105","ELC003_B",2034,10.5723131348051
"RE2","S105","ELC003_B",2035,11.5859489693388
"RE2","S105","ELC003_B",2036,12.4819162679316
"RE2","S105","ELC003_B",2037,13.4454134921064
"RE2","S105","ELC003_B",2038,14.4815789090028
"RE2","S105","ELC003_B",2039,15.5959503054516
"RE2","S105","ELC003_B",2040,16.7944871835132
"RE2","S105","ELC003_B",2041,17.7819333936216
"RE2","S105","ELC003_B",2042,18.8272988611848
"RE2","S105","ELC003_B",2043,19.9339684058088
"RE2","S105","ELC003_B",2044,21.1055488024836
"RE2","S105","ELC003_B",2045,22.3458243905064
"RE2","S105","ELC003_B",2046,23.6842375515648
"RE2","S105","ELC003_B",2047,25.1009565720984
"RE2","S105","ELC003_B",2048,26.6005648307868
"RE2","S105","ELC003_B",2049,28.1879120527704
"RE2","S105","ELC003_B",2050,29.8681254074196
"RE2","S106","ELC003_B",2015,3.98366247738888
"RE2","S106","ELC003_B",2016,4.1611528184256
"RE2","S106","ELC003_B",2017,4.49250201397584
"RE2","S106","ELC003_B",2018,4.82384981286612
"RE2","S106","ELC003_B",2019,5.15519900841636
"RE2","S106","ELC003_B",2020,5.4865468087033
"RE2","S106","ELC003_B",2021,5.78338872522516
"RE2","S106","ELC003_B",2022,6.10129925724362
"RE2","S106","ELC003_B",2023,6.44145299857836
"RE2","S106","ELC003_B",2024,6.80512649224284
"RE2","S106","ELC003_B",2025,7.19369684635428
"RE2","S106","ELC003_B",2026,7.69496369263812
"RE2","S106","ELC003_B",2027,8.23076435309292
"RE2","S106","ELC003_B",2028,8.8033865553365
"RE2","S106","ELC003_B",2029,9.41525211192948
"RE2","S106","ELC003_B",2030,10.068953218171
"RE2","S106","ELC003_B",2031,10.7900571382721
"RE2","S106","ELC003_B",2032,11.5672132097545
"RE2","S106","ELC003_B",2033,12.4042454875888
"RE2","S106","ELC003_B",2034,13.3053104401958
"RE2","S106","ELC003_B",2035,14.5809763498044
"RE2","S106","ELC003_B",2036,15.7085558019108
"RE2","S106","ELC003_B",2037,16.9211220125832
"RE2","S106","ELC003_B",2038,18.2251415174364
"RE2","S106","ELC003_B",2039,19.6275836496708
"RE2","S106","ELC003_B",2040,21.1359484732716
"RE2","S106","ELC003_B",2041,22.3786546058808
"RE2","S106","ELC003_B",2042,23.6942524218024
"RE2","S106","ELC003_B",2043,25.0870017339144
"RE2","S106","ELC003_B",2044,26.5614416870868
"RE2","S106","ELC003_B",2045,28.1223348917832
"RE2","S106","ELC003_B",2046,29.8067347367424
"RE2","S106","ELC003_B",2047,31.5896829084792
"RE2","S106","ELC003_B",2048,33.4769476126284
"RE2","S106","ELC003_B",2049,35.4746322532152
"RE2","S106","ELC003_B",2050,37.5891893992548
"RE2","S107","ELC003_B",2015,3.27986151179544
"RE2","S107","ELC003_B",2016,3.4259943083328
"RE2","S107","ELC003_B",2017,3.69880343300592
"RE2","S107","ELC003_B",2018,3.97161140776956
"RE2","S107","ELC003_B",2019,4.24442053244268
"RE2","S107","ELC003_B",2020,4.51722850835623
"RE2","S107","ELC003_B",2021,4.76162681835708
"RE2","S107","ELC003_B",2022,5.02337151286373
"RE2","S107","ELC003_B",2023,5.30342966804868
"RE2","S107","ELC003_B",2024,5.60285229772692
"RE2","S107","ELC003_B",2025,5.92277321379564
