REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","MINSOL_A","SOL_A",2050,36.3455777042981
"RE1","PWRSOL_A","ELC001_A",2015,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2016,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2017,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2018,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2019,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2020,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2021,0.11968204196808
"RE1","PWRSOL_A","ELC001_A",2022,0.352943700066116
"RE1","PWRSOL_A","ELC001_A",2023,1.20031460795516
"RE1","PWRSOL_A","ELC001_A",2024,2.91686552476965
"RE1","PWRSOL_A","ELC001_A",2025,4.74736478809566
"RE1","PWRSOL_A","ELC001_A",2026,4.74736478809566
"RE1","PWRSOL_A","ELC001_A",2027,5.96162599506369
"RE1","PWRSOL_A","ELC001_A",2028,7.27134502412903
"RE1","PWRSOL_A","ELC001_A",2029,7.75846249423073
"RE1","PWRSOL_A","ELC001_A",2030,8.59494924197577
"RE1","PWRSOL_A","ELC001_A",2031,9.63659750479722
"RE1","PWRSOL_A","ELC001_A",2032,10.1387799376188
"RE1","PWRSOL_A","ELC001_A",2033,10.6784932084806
"RE1","PWRSOL_A","ELC001_A",2034,11.2582301803825
"RE1","PWRSOL_A","ELC001_A",2035,12.0833975183443
"RE1","PWRSOL_A","ELC001_A",2036,12.8318255355564
"RE1","PWRSOL_A","ELC001_A",2037,14.5728792328239
"RE1","PWRSOL_A","ELC001_A",2038,15.6966956826996
"RE1","PWRSOL_A","ELC001_A",2039,17.9421689658085
"RE1","PWRSOL_A","ELC001_A",2040,22.3202925437223
"RE1","PWRSOL_A","ELC001_A",2041,23.7387023000283
"RE1","PWRSOL_A","ELC001_A",2042,27.5668056335445
"RE1","PWRSOL_A","ELC001_A",2043,35.1932678540912
"RE1","PWRSOL_A","ELC001_A",2044,39.7959624730264
"RE1","PWRSOL_A","ELC001_A",2045,39.7959624730264
"RE1","PWRSOL_A","ELC001_A",2046,39.5627008149284
"RE1","PWRSOL_A","ELC001_A",2047,38.7153299070393
"RE1","PWRSOL_A","ELC001_A",2048,36.9987789902248
"RE1","PWRSOL_A","ELC001_A",2049,35.1682797268988
"RE1","PWRSOL_A","ELC001_A",2050,35.1682797268988
"RE2","PWRWND_B","ELC001_B",2015,40.8928194943319
"RE2","PWRWND_B","ELC001_B",2016,40.5579746431279
"RE2","PWRWND_B","ELC001_B",2017,42.6144327174822
"RE2","PWRWND_B","ELC001_B",2018,45.6527234592795
"RE2","PWRWND_B","ELC001_B",2019,51.5726533088701
"RE2","PWRWND_B","ELC001_B",2020,51.6861393238452
"RE2","PWRWND_B","ELC001_B",2021,54.3569371780505
"RE2","PWRWND_B","ELC001_B",2022,57.2124031425481
"RE2","PWRWND_B","ELC001_B",2023,60.2621532710698
"RE2","PWRWND_B","ELC001_B",2024,65.5936387056719
"RE2","PWRWND_B","ELC001_B",2025,69.1776653006801
"RE2","PWRWND_B","ELC001_B",2026,73.4033593769189
"RE2","PWRWND_B","ELC001_B",2027,78.3308863319287
"RE2","PWRWND_B","ELC001_B",2028,83.5841194362116
"RE2","PWRWND_B","ELC001_B",2029,88.5115239549149
"RE2","PWRWND_B","ELC001_B",2030,95.6981781769601
"RE2","PWRWND_B","ELC001_B",2031,104.979865630609
"RE2","PWRWND_B","ELC001_B",2032,105.985889271186
"RE2","PWRWND_B","ELC001_B",2033,117.110977470497
