REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S102","PWRTRN_A",1,2031,94.6844771964761
"RE1","S102","PWRTRN_A",1,2032,101.279081400085
"RE1","S102","PWRTRN_A",1,2033,108.366536420706
"RE1","S102","PWRTRN_A",1,2034,115.979578259726
"RE1","S102","PWRTRN_A",1,2035,126.815584539415
"RE1","S102","PWRTRN_A",1,2036,136.316873584162
"RE1","S102","PWRTRN_A",1,2037,146.510134552904
"RE1","S102","PWRTRN_A",1,2038,157.446270796934
"RE1","S102","PWRTRN_A",1,2039,169.180016252273
"RE1","S102","PWRTRN_A",1,2040,181.770126751511
"RE1","S102","PWRTRN_A",1,2041,192.022032407187
"RE1","S102","PWRTRN_A",1,2042,202.849614401893
"RE1","S102","PWRTRN_A",1,2043,214.285003884697
"RE1","S102","PWRTRN_A",1,2044,226.362380997919
"RE1","S102","PWRTRN_A",1,2045,239.117472683558
"RE1","S102","PWRTRN_A",1,2046,252.859567679066
"RE1","S102","PWRTRN_A",1,2047,267.370213411442
"RE1","S102","PWRTRN_A",1,2048,282.692366453513
"RE1","S102","PWRTRN_A",1,2049,298.871358471077
"RE1","S102","PWRTRN_A",1,2050,315.954981008835
"RE1","S102","PWRDIST_A",1,2015,31.0042353908602
"RE1","S102","PWRDIST_A",1,2016,32.3856155515392
"RE1","S102","PWRDIST_A",1,2017,34.9644556299149
"RE1","S102","PWRDIST_A",1,2018,37.5432848382998
"RE1","S102","PWRDIST_A",1,2019,40.1221249166755
"RE1","S102","PWRDIST_A",1,2020,42.7009541359305
"RE1","S102","PWRDIST_A",1,2021,45.0112293427171
"RE1","S102","PWRDIST_A",1,2022,47.485478359515
"RE1","S102","PWRDIST_A",1,2023,50.1328428702595
"RE1","S102","PWRDIST_A",1,2024,52.9632580138589
"RE1","S102","PWRDIST_A",1,2025,55.987441612033
"RE1","S102","PWRDIST_A",1,2026,59.8887247614038
"RE1","S102","PWRDIST_A",1,2027,64.0587793013174
"RE1","S102","PWRDIST_A",1,2028,68.5154102657031
"RE1","S102","PWRDIST_A",1,2029,73.2774662510793
"RE1","S102","PWRDIST_A",1,2030,78.3651219167425
"RE1","S102","PWRDIST_A",1,2031,83.9773633671628
"RE1","S102","PWRDIST_A",1,2032,90.0258501334089
"RE1","S102","PWRDIST_A",1,2033,96.5403442500721
"RE1","S102","PWRDIST_A",1,2034,103.553194874755
"RE1","S102","PWRDIST_A",1,2035,113.481507417821
"RE1","S102","PWRDIST_A",1,2036,122.257285725706
"RE1","S102","PWRDIST_A",1,2037,131.694502968902
"RE1","S102","PWRDIST_A",1,2038,141.843487204445
"RE1","S102","PWRDIST_A",1,2039,152.758479686026
"RE1","S102","PWRDIST_A",1,2040,164.497852263811
"RE1","S102","PWRDIST_A",1,2041,174.169643906746
"RE1","S102","PWRDIST_A",1,2042,184.408740365357
"RE1","S102","PWRDIST_A",1,2043,195.248295111341
"RE1","S102","PWRDIST_A",1,2044,206.723635614538
"RE1","S102","PWRDIST_A",1,2045,218.871828543302
"RE1","S102","PWRDIST_A",1,2046,231.981254751437
"RE1","S102","PWRDIST_A",1,2047,245.857667504774
"RE1","S102","PWRDIST_A",1,2048,260.545959864989
"RE1","S102","PWRDIST_A",1,2049,276.093633691526
